Bx_1,Bx_2,Bx_3,Bx_4,By_1,By_2,By_3,By_4
5.4297,5.2275,4.107,3.2912,4.6494,1.9055,1.8242,2.14263333333333
3.2912,2.4754,1.9643,1.82951666666667,2.14263333333333,2.46106666666667,3.17923333333333,4.22258333333333
1.82951666666667,1.69473333333333,1.93626666666667,2.24236666666667,4.22258333333333,5.26593333333333,6.63446666666667,7.10871666666667
2.24236666666667,2.54846666666667,2.91913333333333,3.69138333333333,7.10871666666667,7.58296666666667,7.16293333333333,7.34925
3.69138333333333,4.46363333333333,5.63746666666667,6.60068333333333,7.34925,7.53556666666667,8.32823333333333,8.4197
6.60068333333333,7.5639,8.3165,8.39793333333333,8.4197,8.51116666666667,7.90143333333333,7.45428333333333
8.39793333333333,8.47936666666667,7.88963333333333,7.58073333333333,7.45428333333333,7.00713333333333,6.72256666666667,5.98068333333333
7.58073333333333,7.27183333333333,7.24376666666667,7.57233333333333,5.98068333333333,5.2388,4.0396,3.42985
7.57233333333333,7.9009,8.5861,8.4822,3.42985,2.8201,2.7998,2.332325
8.4822,8.3783,7.4853,6.4575,2.332325,1.86485,0.9502,1.3974
